Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2022-01-03,1,0,1,1,1,1.0,0,1,-1,0,0,0,0,0,-1,182.00999450683594,180.95974731445312
2022-01-04,0,0,0,0,0,0.0,1,0,0,0,-1,0,0,0,0,179.6999969482422,178.6630859375
2022-01-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,174.9199981689453,173.91064453125
2022-01-06,0,0,0,0,0,-0.5,0,-1,0,0,0,0,1,0,0,172.0,171.0075225830078
2022-01-07,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,172.1699981689453,171.17652893066406
2022-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,172.19000244140625,171.19642639160156
2022-01-11,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,175.0800018310547,174.0697479248047
2022-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,175.52999877929688,174.5171356201172
2022-01-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,172.19000244140625,171.19642639160156
2022-01-14,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,173.07000732421875,172.0713348388672
2022-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,169.8000030517578,168.82022094726562
2022-01-19,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,166.22999572753906,165.2707977294922
2022-01-20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,164.50999450683594,163.56072998046875
2022-01-21,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,162.41000366210938,161.4728546142578
2022-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,161.6199951171875,160.68740844726562
2022-01-25,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,159.77999877929688,158.85801696777344
2022-01-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,159.69000244140625,158.76853942871094
2022-01-27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,159.22000122070312,158.30125427246094
2022-01-28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,170.3300018310547,169.34715270996094
2022-01-31,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,174.77999877929688,173.77145385742188
2022-02-01,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,174.61000061035156,173.6024627685547
2022-02-02,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,175.83999633789062,174.82534790039062
2022-02-03,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,172.89999389648438,171.90231323242188
2022-02-04,0,0,0,0,0,1.0,0,0,0,0,0,-1,0,0,0,172.38999938964844,171.61363220214844
2022-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,-1,171.66000366210938,170.8869171142578
