Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2022-01-03,0,0,1,1,-1,1.0,0,1,-1,0,0,0,0,0,-1,73.7699966430664,70.67999267578125
2022-01-04,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,76.97000122070312,73.7459487915039
2022-01-05,0,0,0,0,0,0.0,0,0,-1,0,-1,0,0,0,0,75.6500015258789,72.48124694824219
2022-01-06,0,0,0,0,0,0.0,0,0,1,0,0,0,-1,0,1,78.48999786376953,75.2022933959961
2022-01-07,0,0,0,0,0,0.0,0,0,0,-1,0,0,0,0,0,80.63999938964844,77.2622299194336
2022-01-10,0,0,0,0,0,0.0,0,0,0,0,0,-1,0,-1,0,81.02999877929688,77.63589477539062
2022-01-11,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,83.58999633789062,80.08866882324219
2022-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,84.4000015258789,80.86474609375
2022-01-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,83.62000274658203,80.11741638183594
2022-01-14,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,86.73999786376953,83.10671997070312
2022-01-18,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,87.51000213623047,83.84447479248047
2022-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,87.27999877929688,83.62410736083984
2022-01-20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,85.62999725341797,82.04322052001953
2022-01-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,82.72000122070312,79.2551040649414
2022-01-24,0,0,0,0,0,-0.5,-1,0,0,0,1,0,0,0,0,83.0199966430664,79.54254150390625
2022-01-25,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,87.11000061035156,83.46122741699219
2022-01-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,87.05999755859375,83.41331481933594
2022-01-27,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,89.66000366210938,85.9044189453125
2022-01-28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,89.22000122070312,85.48284912109375
2022-01-31,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,88.62000274658203,84.90797424316406
2022-02-01,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,91.54000091552734,87.7056655883789
2022-02-02,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,92.20999908447266,88.34758758544922
2022-02-03,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,90.87000274658203,87.06373596191406
2022-02-04,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,91.87000274658203,88.02183532714844
2022-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,92.94000244140625,89.0470199584961
2022-02-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,91.33000183105469,87.50445556640625
2022-02-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,92.94999694824219,89.05659484863281
2022-02-10,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,91.91000366210938,88.06017303466797
2022-02-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,93.5199966430664,90.05343627929688
2022-02-14,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,91.55000305175781,88.15646362304688
2022-02-15,0,0,0,0,0,-0.5,0,-1,-1,0,0,0,0,0,0,89.68000030517578,86.35576629638672
2022-02-16,0,0,0,0,0,0.0,-1,0,1,0,0,0,0,0,0,90.20999908447266,86.86613464355469
2022-02-17,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,-1,91.16000366210938,87.78091430664062
2022-02-18,0,-1,0,0,0,-0.5,0,-1,0,0,0,0,0,0,0,89.62999725341797,86.30762481689453
2022-02-22,0,0,0,0,0,0.0,0,0,-1,0,-1,0,0,0,1,87.83000183105469,84.57434844970703
2022-02-23,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,88.2300033569336,84.95953369140625
2022-02-24,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,87.7300033569336,84.47805786132812
2022-02-25,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,91.2699966430664,87.88683319091797
2022-02-28,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,94.86000061035156,91.34376525878906
2022-03-01,0,0,0,0,0,0.0,1,0,0,0,0,0,-1,0,0,96.95999908447266,93.36592102050781
2022-03-02,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,98.04000091552734,94.4058837890625
2022-03-03,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,97.41000366210938,93.79925537109375
2022-03-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,100.2699966430664,96.55322265625
2022-03-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,101.2699966430664,97.51614379882812
2022-03-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,98.80000305175781,95.1377182006836
