Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2022-01-03,1,0,-1,-1,1,1.0,0,1,1,0,-1,0,0,0,-1,258.54998779296875,253.2706298828125
2022-01-04,0,0,0,0,0,0.0,1,0,0,0,0,0,-1,0,0,264.9100036621094,259.5007629394531
2022-01-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,262.1300048828125,256.7775573730469
2022-01-06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,263.19000244140625,257.8158874511719
2022-01-07,0,0,0,0,0,0.0,0,0,0,0,0,-1,0,0,0,263.989990234375,258.59954833984375
2022-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,256.54998779296875,251.3114776611328
2022-01-11,0,0,0,0,0,-0.5,-1,-1,0,0,0,0,1,0,0,255.5399932861328,250.3220977783203
2022-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,256.2099914550781,250.97842407226562
2022-01-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,257.6700134277344,252.4086151123047
2022-01-14,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,256.2200012207031,250.98822021484375
2022-01-18,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,253.3300018310547,248.15721130371094
2022-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,252.19000244140625,247.0404815673828
2022-01-20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,250.74000549316406,245.6201171875
2022-01-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,244.91000366210938,239.9091339111328
2022-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,245.72000122070312,240.70262145996094
2022-01-25,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,244.0399932861328,239.056884765625
2022-01-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,243.16000366210938,238.1949005126953
2022-01-27,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,241.92999267578125,236.989990234375
2022-01-28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,244.77999877929688,239.7818145751953
2022-01-31,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,245.86000061035156,240.83973693847656
2022-02-01,0,0,0,0,0,0.5,0,0,1,0,-1,0,-1,0,0,252.0,246.85440063476562
2022-02-02,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,251.82000732421875,246.67807006835938
2022-02-03,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,247.32000732421875,242.2699432373047
2022-02-04,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,244.11000061035156,239.12550354003906
2022-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,-1,243.72999572753906,238.7532501220703
2022-02-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,243.86000061035156,238.88058471679688
2022-02-09,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,244.24000549316406,239.25283813476562
2022-02-10,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,240.41000366210938,235.5010528564453
2022-02-11,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,232.2100067138672,227.46847534179688
2022-02-14,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,228.4600067138672,223.79505920410156
2022-02-15,0,0,0,0,-1,0.0,0,0,0,0,0,0,0,0,0,230.39999389648438,225.69541931152344
2022-02-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,229.00999450683594,224.3338165283203
2022-02-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,224.3699951171875,219.78855895996094
2022-02-18,-1,-1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,222.22999572753906,217.6922607421875
2022-02-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,217.7899932861328,213.34292602539062
2022-02-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,214.83999633789062,210.45315551757812
2022-02-24,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,215.9199981689453,211.51109313964844
