Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2022-01-04,0,0,1,1,1,-0.5,0,-1,-1,0,0,0,0,0,-1,87.5,84.77632141113281
2022-01-05,0,0,0,0,0,-1.0,-1,0,0,0,0,0,0,0,0,86.5,83.80744934082031
2022-01-06,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,82.5,79.93196105957031
2022-01-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,82.0,79.44752502441406
2022-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,86.0,83.32301330566406
2022-01-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,83.75,81.14305114746094
2022-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,84.25,81.62748718261719
2022-01-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,82.5,79.93196105957031
2022-01-14,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,80.25,77.75199127197266
2022-01-17,0,0,0,0,-1,0.0,0,0,0,0,0,0,1,0,0,80.25,77.75199127197266
2022-01-18,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,76.75,74.36094665527344
2022-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,75.5,73.14984893798828
2022-01-20,-1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,74.5,72.18097686767578
2022-01-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,73.0,70.72767639160156
2022-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,71.75,69.51658630371094
2022-01-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,72.25,70.00102233886719
2022-01-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,75.0,72.66541290283203
2022-01-27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,72.25,70.00102233886719
2022-01-28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,69.0,66.85218811035156
2022-01-31,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,69.5,67.33661651611328
2022-02-01,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,73.0,70.72767639160156
2022-02-02,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,73.75,71.45433044433594
2022-02-03,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,71.75,69.51658630371094
2022-02-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,71.25,69.03215026855469
2022-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,70.25,68.06327056884766
2022-02-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,70.25,68.06327056884766
2022-02-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,63.75,61.76560592651367
2022-02-10,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,64.5,62.49225997924805
2022-02-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,61.0,59.1012077331543
2022-02-14,0,0,-1,0,0,0.0,0,0,0,0,0,0,0,0,0,60.0,58.1323356628418
2022-02-15,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,62.75,60.796730041503906
2022-02-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,62.0,60.0700798034668
2022-02-18,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,-1,62.75,60.796730041503906
2022-02-21,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,61.75,59.82786178588867
2022-02-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,61.25,59.34342575073242
2022-02-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,62.5,60.55451583862305
2022-02-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,59.25,57.40568161010742
2022-02-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,62.25,60.31229782104492
2022-02-28,0,-1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,51.0,49.41248321533203
2022-03-01,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,51.0,49.41248321533203
2022-03-02,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,47.25,45.77921676635742
2022-03-03,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,49.0,47.47473907470703
2022-03-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,48.5,46.99030303955078
2022-03-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,47.0,45.53699493408203
2022-03-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.25,42.872596740722656
2022-03-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,46.75,45.294776916503906
2022-03-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,46.75,45.294776916503906
