Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2022-01-03,0,0,1,1,-1,0.5,0,1,-1,0,0,0,0,0,-1,31.059999465942383,30.802480697631836
2022-01-04,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,33.380001068115234,33.103248596191406
2022-01-05,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1,31.809999465942383,31.546262741088867
2022-01-06,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,32.7599983215332,32.48838806152344
2022-01-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,33.209999084472656,32.93465805053711
2022-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,32.380001068115234,32.11153793334961
2022-01-11,0,0,0,0,0,0.0,0,0,0,0,0,-1,0,0,0,34.70000076293945,34.41230392456055
2022-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,34.75,34.46188735961914
2022-01-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,34.150001525878906,33.86686325073242
2022-01-14,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,35.5099983215332,35.2155876159668
2022-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,36.029998779296875,35.73127746582031
2022-01-19,0,0,0,0,1,0.0,0,0,0,0,-1,0,0,-1,0,35.83000183105469,35.532936096191406
2022-01-20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,34.95000076293945,34.66023254394531
2022-01-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,33.75,33.47018051147461
2022-01-24,0,0,0,0,0,-0.5,-1,0,0,0,1,0,0,0,0,34.0099983215332,33.72801971435547
2022-01-25,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,36.77000045776367,36.46514129638672
2022-01-26,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,37.060001373291016,36.75273895263672
2022-01-27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,37.2599983215332,36.95107650756836
2022-01-28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,37.56999969482422,37.25850296020508
2022-01-31,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,37.66999816894531,37.3576774597168
2022-02-01,0,0,0,0,0,0.0,0,0,0,-1,0,0,0,0,0,39.290000915527344,38.96425247192383
2022-02-02,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,39.619998931884766,39.29151153564453
2022-02-03,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,40.0,39.66836166381836
2022-02-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,40.79999923706055,40.461727142333984
2022-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,41.0,40.660072326660156
