Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2022-01-04,1,0,-1,-1,-1,0.5,0,1,1,0,0,0,0,0,-1,387.0,370.7672119140625
2022-01-05,0,0,0,0,0,0.0,1,0,0,0,0,0,-1,0,0,388.0,371.7252502441406
2022-01-06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,382.0,365.9769287109375
2022-01-07,0,0,0,0,0,-1.0,0,0,-1,0,0,0,0,0,0,380.0,364.060791015625
2022-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,382.0,365.9769287109375
2022-01-11,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,1,389.0,372.6833190917969
2022-01-12,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,390.0,373.641357421875
2022-01-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,390.0,373.641357421875
2022-01-14,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,389.0,372.6833190917969
2022-01-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,388.0,371.7252502441406
2022-01-18,0,0,0,0,0,-0.5,0,-1,-1,0,0,0,0,0,1,381.0,365.01885986328125
2022-01-19,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,380.0,364.060791015625
2022-01-20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,380.0,364.060791015625
2022-01-21,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,-1,378.0,362.14471435546875
2022-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,378.0,362.14471435546875
2022-01-25,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,378.0,362.14471435546875
2022-01-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,382.0,365.9769287109375
2022-01-27,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,1,389.0,372.6833190917969
2022-01-28,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,388.0,371.7252502441406
2022-01-31,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,385.0,368.85107421875
2022-02-01,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,385.0,368.85107421875
2022-02-02,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,384.0,367.8930358886719
2022-02-03,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,385.0,368.85107421875
2022-02-04,0,0,0,0,0,0.0,0,0,0,0,-1,0,0,0,0,386.0,369.8091125488281
2022-02-07,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,382.0,365.9769287109375
2022-02-08,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,387.0,370.7672119140625
2022-02-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,391.0,374.5993957519531
2022-02-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,391.0,374.5993957519531
2022-02-11,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,387.0,370.7672119140625
2022-02-14,0,0,0,0,0,-0.5,0,0,-1,0,0,0,0,0,0,383.0,366.9349670410156
2022-02-15,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,388.0,371.7252502441406
2022-02-17,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,399.0,382.26385498046875
2022-02-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,397.0,380.34771728515625
2022-02-21,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,398.0,381.3058166503906
2022-02-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,395.0,378.431640625
2022-02-23,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,393.0,376.5155334472656
2022-02-24,0,0,0,0,0,-0.5,0,-1,0,0,0,0,1,0,0,387.0,370.7672119140625
2022-02-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,388.0,371.7252502441406
2022-02-28,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,392.0,375.5574951171875
2022-03-01,0,-1,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,390.0,373.641357421875
2022-03-02,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,386.0,369.8091125488281
2022-03-03,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,385.0,368.85107421875
2022-03-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,381.0,365.01885986328125
2022-03-07,0,0,0,0,0,-1.0,0,0,0,0,1,0,0,0,1,371.0,355.4383239746094
2022-03-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,370.0,354.4802551269531
2022-03-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,372.0,356.3963928222656
2022-03-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,377.0,361.1866455078125
2022-03-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,377.0,361.1866455078125
2022-03-14,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,380.0,364.060791015625
2022-03-15,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,381.0,365.01885986328125
2022-03-16,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,384.0,367.8930358886719
2022-03-17,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,385.0,368.85107421875
2022-03-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,381.0,365.01885986328125
