Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2022-01-03,0,0,1,1,-1,1.0,0,1,1,0,0,0,0,0,1,399.9266662597656,399.9266662597656
2022-01-04,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,383.1966552734375,383.1966552734375
2022-01-05,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,362.7066650390625,362.7066650390625
2022-01-06,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,354.8999938964844,354.8999938964844
2022-01-07,0,0,0,0,0,-0.5,0,-1,0,0,0,0,0,0,0,342.32000732421875,342.32000732421875
2022-01-10,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,352.7066650390625,352.7066650390625
2022-01-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,354.79998779296875,354.79998779296875
2022-01-12,0,0,0,0,0,1.0,0,1,1,0,0,0,0,0,0,368.739990234375,368.739990234375
2022-01-13,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,343.85333251953125,343.85333251953125
2022-01-14,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,349.8699951171875,349.8699951171875
2022-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,343.5033264160156,343.5033264160156
2022-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,331.8833312988281,331.8833312988281
2022-01-20,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,-1,332.0899963378906,332.0899963378906
2022-01-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,314.6333312988281,314.6333312988281
2022-01-24,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,310.0,310.0
2022-01-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,306.1333312988281,306.1333312988281
