Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-03,-1,-1,1,-1,0,0,0,1,0,0,-1,0,0,0.5,-1,7.150000095367432,5.489915370941162
2018-01-04,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1.0,1,7.099999904632568,5.45152473449707
2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-01-08,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-01-09,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1.0,0,7.099999904632568,5.45152473449707
2018-01-10,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1.0,-1,7.099999904632568,5.45152473449707
2018-01-11,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-01-15,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,7.099999904632568,5.45152473449707
2018-01-16,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.5,0,7.150000095367432,5.489915370941162
2018-01-17,0,0,0,0,0,0,-1,0,0,0,0,0,0,0.5,1,7.150000095367432,5.489915370941162
2018-01-18,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,-1,7.150000095367432,5.489915370941162
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,7.150000095367432,5.489915370941162
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,7.150000095367432,5.489915370941162
2018-01-23,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-01-26,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,0,7.099999904632568,5.45152473449707
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.099999904632568,5.45152473449707
2018-01-30,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
2018-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0,0,7.050000190734863,5.4131340980529785
