Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-03,1,1,1,1,0,0,0,1,-1,-1,1,-1,0,1.0,0,78.5,70.96255493164062
2018-01-04,0,0,0,0,0,0,0,0,0,0,-1,0,0,1.0,0,78.5,70.96255493164062
2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,77.75,70.28456115722656
2018-01-08,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,1,76.5,69.15458679199219
2018-01-09,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5,0,76.25,68.92859649658203
2018-01-10,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5,0,77.5,70.05856323242188
2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,78.5,70.96255493164062
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,79.0,71.41454315185547
2018-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,78.25,70.7365493774414
2018-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,78.5,70.96255493164062
2018-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,80.0,72.31851196289062
2018-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,79.5,71.86651611328125
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,80.25,72.54451751708984
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,80.5,72.7705078125
2018-01-23,0,0,0,0,0,0,-1,0,0,0,0,0,0,1.0,0,80.5,72.7705078125
2018-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,80.25,72.54451751708984
2018-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,80.0,72.31851196289062
2018-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,80.25,72.54451751708984
2018-01-29,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,79.75,72.092529296875
2018-01-30,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,0,79.5,71.86651611328125
2018-01-31,0,0,0,1,0,0,0,-1,0,0,0,0,0,1.0,0,79.75,72.092529296875
2018-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,-1,80.0,72.31851196289062
2018-02-02,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1.0,1,79.75,72.092529296875
2018-02-05,0,0,0,-1,0,0,0,0,0,1,0,0,1,-0.5,0,79.25,71.6405258178711
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,78.5,70.96255493164062
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-1,79.5,71.86651611328125
2018-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,79.25,71.6405258178711
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,78.5,70.96255493164062
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,78.5,70.96255493164062
2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,79.0,71.41454315185547
2018-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,79.5,71.86651611328125
2018-02-15,0,0,0,0,0,0,-1,1,0,-1,0,0,0,1.0,0,80.25,72.54451751708984
2018-02-16,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,81.25,73.44850158691406
2018-02-19,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,83.75,75.70843505859375
2018-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,82.75,74.80447387695312
2018-02-21,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,83.5,75.48246002197266
2018-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,84.25,76.16044616699219
2018-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,84.0,75.9344482421875
2018-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,84.5,76.38643646240234
2018-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,83.25,75.25645446777344
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,84.0,75.9344482421875
2018-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,84.75,76.61243438720703
2018-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.0,78.64640045166016
2018-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,86.5,78.19439697265625
2018-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,85.5,77.29041290283203
2018-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,85.75,77.51641845703125
2018-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.0,78.64640045166016
2018-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.75,79.32437133789062
2018-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.75,79.32437133789062
2018-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.0,78.64640045166016
2018-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,87.0,78.64640045166016
2018-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,87.5,79.09838104248047
2018-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.5,79.09838104248047
2018-03-20,0,0,0,0,-1,0,0,0,0,0,0,0,0,1.0,0,87.0,78.64640045166016
2018-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.75,79.32437133789062
2018-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,88.0,79.55036926269531
2018-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,88.5,80.00236511230469
2018-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,88.5,80.00236511230469
2018-03-27,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,90.0,81.35832214355469
2018-03-28,0,0,0,0,-1,0,0,0,0,0,0,0,0,1.0,1,87.75,79.32437133789062
2018-03-29,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.5,0,87.25,78.87238311767578
2018-03-30,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5,0,88.0,79.55036926269531
2018-04-02,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5,0,87.5,79.09838104248047
2018-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,88.0,79.55036926269531
2018-04-04,0,0,0,0,0,0,0,-1,0,1,0,1,0,-0.5,1,86.5,78.19439697265625
2018-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,87.75,79.32437133789062
2018-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.75,79.32437133789062
2018-04-10,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.5,-1,86.75,78.42039489746094
2018-04-11,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5,1,87.25,78.87238311767578
2018-04-12,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.5,0,87.0,78.64640045166016
2018-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,83.25,75.25645446777344
2018-04-18,0,0,0,0,0,-1,0,0,0,0,0,0,0,-0.5,0,85.5,77.29041290283203
2018-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-1,87.0,78.64640045166016
2018-04-20,0,0,0,0,0,0,-1,0,0,0,0,0,0,-0.5,0,87.0,78.64640045166016
2018-04-23,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,87.0,78.64640045166016
2018-04-24,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,0,86.5,78.19439697265625
2018-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.0,79.6594009399414
2018-04-26,0,0,0,0,0,0,0,1,0,0,0,-1,0,1.0,0,87.0,79.6594009399414
2018-04-27,0,0,0,0,0,0,0,-1,0,0,0,0,0,-0.5,1,87.0,80.67948913574219
