Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-03,1,-1,-1,1,0,0,0,1,0,0,1,0,0,1.0,0,490.0,401.9529113769531
2018-01-04,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,1.0,0,496.0,406.8748779296875
2018-01-05,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,0,490.0,401.9529113769531
2018-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,492.0,403.5935974121094
2018-01-09,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,496.0,406.8748779296875
2018-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,504.0,413.43731689453125
2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,498.0,408.5155029296875
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,498.0,408.5155029296875
2018-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,504.0,413.43731689453125
2018-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,502.0,411.7967224121094
2018-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,502.0,411.7967224121094
2018-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,502.0,411.7967224121094
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,500.0,410.1561279296875
2018-01-22,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5,0,492.0,403.5935974121094
2018-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,496.0,406.8748779296875
2018-01-24,0,0,0,0,0,0,0,-1,0,0,0,0,0,-0.5,-1,502.0,411.7967224121094
2018-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,494.0,405.23419189453125
2018-01-26,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5,1,496.0,406.8748779296875
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5,0,494.0,405.23419189453125
2018-01-30,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.5,0,492.0,403.5935974121094
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,492.0,403.5935974121094
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,494.0,405.23419189453125
2018-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,492.0,403.5935974121094
2018-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,486.0,398.6717224121094
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,480.0,393.7498474121094
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,480.0,393.7498474121094
2018-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,480.0,393.7498474121094
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,476.0,390.4686279296875
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,476.0,390.4686279296875
2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,484.0,397.03106689453125
2018-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,478.0,392.1092224121094
2018-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1,478.0,392.1092224121094
2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,480.0,393.7498474121094
2018-02-19,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1.0,-1,482.0,395.3905029296875
2018-02-20,0,0,0,0,1,0,-1,1,0,0,0,0,-1,-1.0,0,482.0,395.3905029296875
2018-02-21,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1.0,1,478.0,392.1092224121094
2018-02-22,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1.0,0,478.0,392.1092224121094
2018-02-23,-1,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,0,480.0,393.7498474121094
2018-02-26,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1.0,0,482.0,395.3905029296875
2018-02-27,0,0,0,1,0,0,0,0,0,-1,0,0,0,0.5,-1,494.0,405.23419189453125
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,490.0,401.9529113769531
2018-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,488.0,400.3123474121094
2018-03-05,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.5,1,486.0,398.6717224121094
2018-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,490.0,401.9529113769531
2018-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,486.0,398.6717224121094
2018-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,488.0,400.3123474121094
2018-03-09,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,-1,492.0,403.5935974121094
2018-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,504.0,413.43731689453125
2018-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,504.0,413.43731689453125
2018-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,504.0,413.43731689453125
2018-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,508.0,416.7186279296875
2018-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,504.0,413.43731689453125
2018-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,498.0,408.5155029296875
2018-03-20,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,504.0,413.43731689453125
2018-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,502.0,411.7967224121094
2018-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,506.0,415.07794189453125
2018-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,500.0,410.1561279296875
2018-03-26,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1.0,1,498.0,408.5155029296875
2018-03-27,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,504.0,413.43731689453125
2018-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,502.0,411.7967224121094
2018-03-29,0,0,0,0,-1,0,0,0,0,1,0,1,0,-0.5,1,494.0,405.23419189453125
2018-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,500.0,410.1561279296875
2018-04-02,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,-1,502.0,411.7967224121094
2018-04-03,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,0,498.0,408.5155029296875
2018-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,1,484.0,405.5824890136719
2018-04-05,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5,0,482.0,403.90655517578125
2018-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,492.0,412.2864074707031
2018-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,496.0,415.6383056640625
2018-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,492.0,412.2864074707031
2018-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,488.0,408.9344177246094
2018-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1,482.0,403.90655517578125
