Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-02,1,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1.0,0,21.368667602539062,21.368667602539062
2018-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,21.149999618530273,21.149999618530273
2018-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1,20.974666595458984,20.974666595458984
2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,21.10533332824707,21.10533332824707
2018-01-08,0,0,0,0,0,0,0,1,0,0,1,0,0,0.5,-1,22.42733383178711,22.42733383178711
2018-01-09,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0.5,0,22.246000289916992,22.246000289916992
2018-01-10,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.0,0,22.31999969482422,22.31999969482422
2018-01-11,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,22.530000686645508,22.530000686645508
2018-01-12,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,0,22.4146671295166,22.4146671295166
2018-01-16,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,22.67066764831543,22.67066764831543
2018-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,23.143999099731445,23.143999099731445
2018-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,22.971332550048828,22.971332550048828
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,23.334667205810547,23.334667205810547
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,23.437332153320312,23.437332153320312
2018-01-23,0,0,0,0,0,1,0,0,0,0,0,0,-1,1.0,0,23.519332885742188,23.519332885742188
2018-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,23.05933380126953,23.05933380126953
2018-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,22.50933265686035,22.50933265686035
2018-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,22.856666564941406,22.856666564941406
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,23.302000045776367,23.302000045776367
2018-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,23.05466651916504,23.05466651916504
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,23.62066650390625,23.62066650390625
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,23.28333282470703,23.28333282470703
2018-02-02,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,1,22.916667938232422,22.916667938232422
2018-02-05,0,0,0,-1,0,0,1,0,0,1,0,1,0,-0.5,0,22.208667755126953,22.208667755126953
2018-02-06,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.5,0,22.264667510986328,22.264667510986328
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,23.0,23.0
2018-02-08,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.5,-1,21.01533317565918,21.01533317565918
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,1,20.69466781616211,20.69466781616211
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,21.048667907714844,21.048667907714844
2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,21.577333450317383,21.577333450317383
2018-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,21.487333297729492,21.487333297729492
2018-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,22.271333694458008,22.271333694458008
2018-02-16,0,0,0,1,0,0,-1,0,0,0,0,0,0,0.5,0,22.365999221801758,22.365999221801758
2018-02-20,0,1,0,-1,-1,0,0,1,0,0,0,0,0,0.5,0,22.31800079345703,22.31800079345703
2018-02-21,0,0,0,0,0,0,0,-1,0,0,0,0,0,0.5,0,22.219999313354492,22.219999313354492
2018-02-22,0,0,0,1,1,0,0,1,0,0,0,-1,0,0.5,0,23.077999114990234,23.077999114990234
2018-02-23,0,0,0,0,0,0,0,0,0,-1,0,0,0,1.0,0,23.469999313354492,23.469999313354492
