Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-02,1,1,1,1,0,1,0,1,-1,0,1,0,0,1.0,-1,296.8399963378906,282.88641357421875
2018-01-03,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,1.0,0,297.79998779296875,283.80126953125
2018-01-04,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,0,296.6700134277344,282.7243957519531
2018-01-05,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0,308.8399963378906,294.3222961425781
2018-01-08,0,0,0,0,0,0,0,0,0,0,-1,0,0,1.0,0,310.1499938964844,295.57073974609375
2018-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,318.42999267578125,303.4615173339844
2018-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,320.260009765625,305.2054748535156
2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,328.1199951171875,312.696044921875
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,336.2099914550781,320.40576171875
2018-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,335.1600036621094,319.40509033203125
2018-01-17,0,0,0,0,0,0,-1,0,0,0,1,0,0,1.0,0,351.010009765625,334.510009765625
2018-01-18,0,0,0,0,0,0,0,0,0,0,-1,0,0,1.0,0,340.1600036621094,324.1700744628906
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,337.7300109863281,321.85430908203125
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,338.0,322.1116027832031
2018-01-23,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,335.5899963378906,319.81488037109375
2018-01-24,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,0,334.69000244140625,318.95721435546875
2018-01-25,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,-1,343.1099853515625,326.98138427734375
2018-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,343.2200012207031,327.08624267578125
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,340.82000732421875,324.7991027832031
2018-01-30,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,1,337.7099914550781,321.835205078125
2018-01-31,0,0,0,1,0,0,0,0,0,0,1,0,-1,1.0,-1,354.3699951171875,337.7120361328125
2018-02-01,0,0,0,0,0,0,0,0,0,0,-1,0,0,1.0,0,356.94000244140625,340.1612854003906
