Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-02,1,1,1,1,0,1,0,1,-1,-1,-1,-1,0,1.0,0,257.6000061035156,241.14981079101562
2018-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,260.82000732421875,244.1641845703125
2018-01-04,0,0,0,0,0,0,-1,0,0,0,0,0,0,1.0,0,264.8800048828125,247.96490478515625
2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,265.9200134277344,248.93849182128906
2018-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,268.6600036621094,251.50343322753906
2018-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,267.75,250.6516571044922
2018-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,268.010009765625,250.89505004882812
2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,271.19000244140625,253.87193298339844
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,271.8500061035156,254.48980712890625
2018-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,269.5799865722656,252.36476135253906
2018-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,271.489990234375,254.1527862548828
2018-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,272.17999267578125,254.79873657226562
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,274.32000732421875,256.8021545410156
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,273.8900146484375,256.3995361328125
2018-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,272.0199890136719,254.6489715576172
2018-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,270.4100036621094,253.14178466796875
2018-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,268.0400085449219,250.92311096191406
2018-01-26,0,0,0,0,0,0,0,-1,0,0,0,0,0,-0.5,0,268.8500061035156,251.68136596679688
2018-01-29,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5,0,267.69000244140625,250.59547424316406
2018-01-30,0,0,0,-1,0,0,0,0,0,1,0,1,0,-0.5,0,261.4599914550781,244.7633056640625
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,262.4800109863281,245.71815490722656
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0,261.8299865722656,245.10963439941406
2018-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,255.8699951171875,239.5302734375
2018-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,248.5,232.63092041015625
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,250.17999267578125,234.20364379882812
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,251.14999389648438,235.11167907714844
2018-02-08,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,0,239.27000427246094,223.99034118652344
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,235.32000732421875,220.2926025390625
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,239.92999267578125,224.60818481445312
2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,240.32000732421875,224.97328186035156
2018-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,240.82000732421875,225.44134521484375
2018-02-15,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1.0,-1,245.02999877929688,229.38250732421875
2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,244.19000244140625,228.59616088867188
2018-02-20,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1.0,0,240.97999572753906,225.59112548828125
2018-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,243.3000030517578,227.76300048828125
2018-02-22,0,0,0,1,1,0,0,0,0,0,0,0,0,-1.0,0,245.42999267578125,229.75692749023438
2018-02-23,0,0,0,0,0,0,0,1,0,-1,0,0,0,0.5,0,252.22000122070312,236.1133575439453
2018-02-26,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.5,0,254.50999450683594,238.2571258544922
2018-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,248.74000549316406,232.85556030273438
2018-02-28,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,246.41000366210938,230.67437744140625
2018-03-01,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1.0,0,243.6999969482422,228.13743591308594
2018-03-02,0,0,0,0,0,0,1,-1,0,0,0,0,0,-1.0,0,241.30999755859375,225.90005493164062
2018-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,241.94000244140625,226.48983764648438
2018-03-06,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.0,0,243.0399932861328,227.51956176757812
2018-03-07,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1.0,0,241.67999267578125,226.2464141845703
2018-03-08,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.0,0,240.47000122070312,225.1136932373047
2018-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,247.1199951171875,231.82102966308594
2018-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,246.5399932861328,231.2769317626953
