Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-02,1,1,1,1,0,1,0,1,-1,0,1,-1,0,1.0,-1,73.9800033569336,63.79452133178711
2018-01-03,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1.0,0,75.0,64.674072265625
2018-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,74.95999908447266,64.63957214355469
2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,74.55000305175781,64.28604125976562
2018-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,75.19000244140625,64.83792114257812
2018-01-09,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,74.88999938964844,64.57920837402344
2018-01-10,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,1,74.25,64.02732849121094
2018-01-11,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,-1,75.81999969482422,65.38116455078125
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,76.52999877929688,65.99343872070312
2018-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,75.2699966430664,64.90691375732422
2018-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,75.86000061035156,65.4156723022461
2018-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,75.38999938964844,65.01038360595703
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,75.55000305175781,65.14835357666016
2018-01-22,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,77.62999725341797,66.94197082519531
2018-01-23,0,0,0,0,0,0,0,0,0,0,-1,0,0,1.0,0,77.41999816894531,66.76089477539062
2018-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,77.55999755859375,66.88160705566406
2018-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,76.73999786376953,66.17451477050781
2018-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,77.18000030517578,66.5539321899414
2018-01-29,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,0,76.23999786376953,65.74333953857422
2018-01-30,0,0,0,-1,0,0,0,0,0,0,0,1,0,-0.5,0,74.76000213623047,64.46711730957031
2018-01-31,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.5,0,74.97000122070312,64.64820861816406
2018-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.5,0,76.0999984741211,65.62262725830078
2018-02-02,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-0.5,0,73.58000183105469,63.44957733154297
2018-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,70.91000366210938,61.147186279296875
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,71.22000122070312,61.414493560791016
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,69.87000274658203,60.25037384033203
2018-02-08,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,0,68.47000122070312,59.04311752319336
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,68.18000030517578,58.79304885864258
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,69.87000274658203,60.25037384033203
2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,69.72000122070312,60.12102127075195
2018-02-14,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1.0,0,69.8499984741211,60.23310470581055
2018-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,69.43000030517578,59.87094497680664
2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,68.16000366210938,58.775794982910156
2018-02-20,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1.0,0,67.98999786376953,58.62921142578125
2018-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,67.20999908447266,57.95658874511719
2018-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,67.91999816894531,58.568851470947266
2018-02-23,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,68.31999969482422,58.913780212402344
2018-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,67.2699966430664,58.00833511352539
2018-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1,66.75,57.559932708740234
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,65.5999984741211,56.568260192871094
2018-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0,0,65.62999725341797,56.594120025634766
2018-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,65.63999938964844,56.60274887084961
2018-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,65.91999816894531,56.84419631958008
2018-03-06,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1,65.66000366210938,56.619998931884766
2018-03-07,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0,1,65.19000244140625,56.21470642089844
2018-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,62.959999084472656,54.940670013427734
2018-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,63.66999816894531,55.56023406982422
2018-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,63.88999938964844,55.75221633911133
2018-03-13,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1.0,-1,64.19999694824219,56.02272415161133
2018-03-14,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.0,0,64.04000091552734,55.88310241699219
2018-03-15,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,1,63.90999984741211,55.769657135009766
2018-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,64.44999694824219,56.240882873535156
2018-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,63.650001525878906,55.54278564453125
2018-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,63.90999984741211,55.769657135009766
2018-03-21,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0.5,0,66.04000091552734,57.62836456298828
2018-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,65.18000030517578,56.877906799316406
2018-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,65.48999786376953,57.14841079711914
2018-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,67.19999694824219,58.6406135559082
2018-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,65.81999969482422,57.43638610839844
2018-03-28,0,0,0,-1,0,0,0,-1,0,0,0,1,0,-1.0,1,63.150001525878906,55.106468200683594
2018-03-29,0,-1,0,1,0,0,0,1,0,0,0,0,0,-1.0,0,64.95999908447266,56.68592071533203
2018-04-02,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1.0,0,64.66999816894531,56.432857513427734
2018-04-03,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,-1,66.62999725341797,58.14320755004883
2018-04-04,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.5,0,66.62000274658203,58.13447952270508
2018-04-05,0,0,0,1,0,0,0,0,0,0,0,-1,0,0.5,0,67.7699966430664,59.13800048828125
2018-04-06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.5,0,67.52999877929688,58.92856979370117
2018-04-09,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,68.93000030517578,60.1502571105957
2018-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,70.51000213623047,61.52901077270508
2018-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,71.68000030517578,62.54998016357422
2018-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,71.77999877929688,62.637245178222656
2018-04-13,0,0,0,0,0,0,0,0,-1,0,0,0,0,1.0,0,73.62999725341797,64.25160217285156
2018-04-16,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,74.91000366210938,65.36857604980469
2018-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,75.22000122070312,65.63909149169922
2018-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,75.91999816894531,66.24993133544922
2018-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,75.98999786376953,66.31100463867188
2018-04-20,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,76.47000122070312,66.72988891601562
2018-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,77.23999786376953,67.40180206298828
2018-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,77.33999633789062,67.48905181884766
2018-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,77.36000061035156,67.50652313232422
2018-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,77.5999984741211,67.71595001220703
2018-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,77.04000091552734,67.22727966308594
2018-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,77.26000213623047,67.41925048828125
