Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-02,-1,1,1,1,0,0,0,1,0,-1,1,-1,0,1.0,-1,85.02999877929688,65.37908935546875
2018-01-03,0,0,0,0,0,1,0,0,-1,0,-1,0,0,1.0,0,86.69999694824219,66.66313934326172
2018-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,86.81999969482422,66.75540924072266
2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,86.75,66.70158386230469
2018-01-08,0,0,0,0,0,0,-1,0,0,0,0,0,0,1.0,0,87.13999938964844,67.0014419555664
2018-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,86.7699966430664,66.71696472167969
2018-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,86.08000183105469,66.18641662597656
2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,86.93000030517578,66.83997344970703
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,87.5199966430664,67.29362487792969
2018-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,86.97000122070312,66.87074279785156
2018-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,88.0,67.6626968383789
2018-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,87.43000030517578,67.22441101074219
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,87.1500015258789,67.0091323852539
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,88.25,67.85491943359375
2018-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,88.30000305175781,67.89336395263672
2018-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,88.52999877929688,68.07022094726562
2018-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,88.37000274658203,67.94718170166016
2018-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,89.0,68.43160247802734
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,88.01000213623047,67.67039489746094
2018-01-30,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1.0,1,86.77999877929688,66.72463989257812
2018-01-31,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5,0,87.30000305175781,67.12447357177734
2018-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,-1,89.06999969482422,68.48542022705078
2018-02-02,0,0,0,-1,0,-1,0,-1,0,1,0,0,0,-0.5,1,84.52999877929688,64.99462890625
2018-02-05,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.5,0,79.72000122070312,61.2962646484375
2018-02-06,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0,0,78.3499984741211,60.24287796020508
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,76.94000244140625,59.15873336791992
2018-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,76.06999969482422,58.48979568481445
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,75.77999877929688,58.86262893676758
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,76.41999816894531,59.35976028442383
2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,76.30000305175781,59.266544342041016
2018-02-14,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1.0,0,76.45999908447266,59.390830993652344
2018-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,76.20999908447266,59.19664001464844
2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0,-1,76.54000091552734,59.45296096801758
2018-02-20,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1.0,0,75.75,58.839324951171875
2018-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1,74.88999938964844,58.171321868896484
2018-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,75.86000061035156,58.924781799316406
2018-02-23,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1,77.52999877929688,60.221954345703125
2018-02-26,0,0,0,0,1,0,0,0,0,-1,0,0,0,0.5,0,78.83999633789062,61.239505767822266
2018-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,77.5,60.19866180419922
2018-02-28,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1.0,1,75.73999786376953,58.83156204223633
2018-03-01,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,75.19999694824219,58.41212844848633
2018-03-02,0,0,0,0,0,0,1,0,0,1,0,0,0,-1.0,0,75.55000305175781,58.683990478515625
2018-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,76.2699966430664,59.24323654174805
2018-03-06,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1.0,0,76.18000030517578,59.173336029052734
2018-03-07,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1.0,0,74.26000213623047,57.681976318359375
2018-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,74.12000274658203,57.57321548461914
2018-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,74.55999755859375,57.91498565673828
2018-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,75.23999786376953,58.44318389892578
