Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-02,1,1,1,1,0,0,0,-1,0,0,-1,0,0,-0.5,1,43.064998626708984,40.950496673583984
2018-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,43.057498931884766,40.943355560302734
2018-01-04,0,0,0,0,0,0,-1,0,0,0,0,0,0,1.0,0,43.25749969482422,41.133548736572266
2018-01-05,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,43.75,41.60186004638672
2018-01-08,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,0,43.587501525878906,41.44734573364258
2018-01-09,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,0,43.58250045776367,41.442596435546875
2018-01-10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,43.5724983215332,41.433074951171875
2018-01-11,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1.0,0,43.81999969482422,41.668434143066406
2018-01-12,1,0,0,1,0,0,0,0,0,-1,0,0,0,1.0,0,44.272499084472656,42.098690032958984
2018-01-16,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1.0,0,44.04750061035156,41.884761810302734
2018-01-17,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,44.775001525878906,42.5765380859375
2018-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,44.814998626708984,42.614566802978516
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,44.6150016784668,42.42438888549805
2018-01-22,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,0,44.25,42.077308654785156
2018-01-23,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0,44.2599983215332,42.08681869506836
2018-01-24,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-0.5,1,43.55500030517578,41.41644287109375
2018-01-25,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.5,0,42.77750015258789,40.6771125793457
2018-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,42.877498626708984,40.77220153808594
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,41.9900016784668,39.92827606201172
