Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-02,1,1,1,1,0,1,0,1,0,0,-1,0,0,1.0,1,169.91000366210938,151.73699951171875
2018-01-03,0,0,0,0,0,0,1,-1,0,0,0,0,0,-0.5,0,169.07000732421875,150.98684692382812
2018-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,169.69000244140625,151.54052734375
2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,170.27000427246094,152.05848693847656
2018-01-08,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,-1,172.0,153.6034698486328
2018-01-09,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1.0,0,174.0800018310547,155.46096801757812
2018-01-10,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1.0,0,175.8300018310547,157.02381896972656
2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,178.97999572753906,159.8369140625
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,182.0399932861328,162.56961059570312
2018-01-16,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,0,177.30999755859375,158.3455352783203
2018-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,178.47000122070312,159.38143920898438
2018-01-18,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,177.57000732421875,158.57769775390625
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,178.80999755859375,159.68507385253906
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,177.94000244140625,158.90814208984375
2018-01-23,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,178.30999755859375,159.2385711669922
2018-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1,180.30999755859375,161.02464294433594
2018-01-25,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,1,173.1300048828125,154.6126251220703
2018-01-26,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.5,0,179.83999633789062,160.60491943359375
2018-01-29,0,0,0,0,0,0,0,-1,0,0,0,0,0,1.0,-1,177.4499969482422,158.47052001953125
2018-01-30,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.5,1,172.00999450683594,153.61241149902344
2018-01-31,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.5,0,168.6999969482422,150.6564178466797
2018-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5,0,171.0800018310547,152.78187561035156
2018-02-02,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.5,0,167.5,149.5847625732422
2018-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,160.38999938964844,143.23524475097656
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,160.55999755859375,143.38705444335938
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,160.11000061035156,142.98516845703125
2018-02-08,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,0,152.5,136.18911743164062
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,153.8800048828125,137.42152404785156
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,155.91000366210938,139.2344207763672
2018-02-13,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0,0,156.6199951171875,139.868408203125
2018-02-14,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1.0,-1,160.5500030517578,143.37811279296875
2018-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,159.0,142.73179626464844
2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,159.80999755859375,143.45892333984375
2018-02-20,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1.0,0,158.75999450683594,142.51632690429688
2018-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,159.3800048828125,143.0729522705078
2018-02-22,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1.0,0,158.00999450683594,141.84307861328125
2018-02-23,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,0,160.27999877929688,143.8808135986328
2018-02-26,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0.5,0,162.32000732421875,145.71209716796875
2018-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,159.77000427246094,143.42298889160156
2018-02-28,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1.0,1,156.44000244140625,140.43370056152344
2018-03-01,0,0,0,-1,0,0,1,0,0,1,0,0,0,-1.0,0,153.66000366210938,137.93817138671875
2018-03-02,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1.0,0,150.91000366210938,135.46951293945312
2018-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,155.6199951171875,139.69764709472656
2018-03-06,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.0,0,155.57000732421875,139.65277099609375
2018-03-07,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1.0,0,155.74000549316406,139.80532836914062
2018-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,156.41000366210938,140.40679931640625
2018-03-09,0,0,0,1,0,0,0,1,0,0,0,-1,0,0.5,0,161.11000061035156,144.62586975097656
2018-03-12,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0.5,0,159.8800048828125,143.5217742919922
2018-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,158.91000366210938,142.65097045898438
2018-03-14,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,157.00999450683594,140.9453887939453
2018-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1,155.38999938964844,139.4911346435547
2018-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,157.10000610351562,141.0261688232422
2018-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,156.0399932861328,140.0746307373047
2018-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,157.13999938964844,141.0620880126953
2018-03-21,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0,-1,157.86000061035156,141.70843505859375
2018-03-22,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1.0,1,151.05999755859375,135.60415649414062
2018-03-23,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1.0,0,144.88999938964844,130.0654754638672
2018-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,149.5500030517578,134.24867248535156
2018-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,147.30999755859375,132.2378692626953
2018-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,146.9600067138672,131.92369079589844
2018-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,147.94000244140625,132.80337524414062
2018-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,142.6699981689453,128.07257080078125
2018-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,144.6999969482422,129.8948974609375
2018-04-04,0,0,0,1,0,-1,0,0,0,0,0,0,1,-1.0,0,145.6999969482422,130.79254150390625
2018-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,145.97000122070312,131.03492736816406
2018-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1,141.30999755859375,126.85173797607422
2018-04-09,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,141.3800048828125,126.91459655761719
2018-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,144.2899932861328,129.52682495117188
2018-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,141.3699951171875,126.9056167602539
2018-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,143.52999877929688,128.84461975097656
2018-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,141.6300048828125,127.1390380859375
2018-04-16,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.0,0,143.58999633789062,128.89845275878906
2018-04-17,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1.0,0,144.07000732421875,129.32937622070312
2018-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,144.6199951171875,129.82305908203125
2018-04-19,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.5,0,145.5800018310547,130.68484497070312
2018-04-20,0,0,0,0,0,0,0,1,0,0,0,0,-1,0.5,1,143.69000244140625,128.98826599121094
2018-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1,145.49000549316406,130.60406494140625
2018-04-24,0,0,0,0,0,0,0,-1,0,0,0,0,0,0.5,1,142.66000366210938,128.06362915039062
2018-04-25,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.0,0,141.44000244140625,126.96844482421875
2018-04-26,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1.0,0,142.17999267578125,127.6327133178711
2018-04-27,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,0,141.74000549316406,127.23776245117188
2018-04-30,0,0,0,-1,0,0,1,-1,0,0,0,0,0,-1.0,0,140.2100067138672,125.86431121826172
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,139.0500030517578,124.82298278808594
2018-05-02,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1.0,0,132.99000549316406,119.38301849365234
2018-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,131.49000549316406,118.03648376464844
2018-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,134.57000732421875,121.63392639160156
2018-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,134.10000610351562,121.20909118652344
2018-05-08,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1.0,0,134.30999755859375,121.39886474609375
