Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2018-01-02,0,0,1,1,1,-0.5,0,-1,1,0,0,0,0,0,-1,43.064998626708984,40.950496673583984
2018-01-03,0,0,0,0,0,1.0,-1,0,0,0,0,0,0,0,0,43.057498931884766,40.94336700439453
2018-01-04,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,43.25749969482422,41.133541107177734
2018-01-05,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,43.75,41.60186004638672
2018-01-08,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,43.587501525878906,41.44734191894531
2018-01-09,0,0,0,0,0,0.0,1,0,-1,0,0,0,0,0,0,43.58250045776367,41.442588806152344
2018-01-10,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,43.5724983215332,41.433074951171875
2018-01-11,0,0,0,0,-1,0.0,0,0,0,0,0,0,0,0,0,43.81999969482422,41.668418884277344
2018-01-12,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,44.272499084472656,42.09870910644531
2018-01-16,0,0,0,0,0,0.0,0,0,-1,0,-1,0,0,0,0,44.04750061035156,41.884765625
2018-01-17,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,44.775001525878906,42.5765380859375
2018-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.814998626708984,42.614566802978516
2018-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.6150016784668,42.42438888549805
2018-01-22,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,-1,44.25,42.07731246948242
2018-01-23,0,0,0,0,0,0.0,0,0,1,0,0,0,1,0,1,44.2599983215332,42.08682632446289
2018-01-24,0,0,0,0,0,-0.5,0,-1,-1,0,0,0,0,0,0,43.55500030517578,41.41644287109375
2018-01-25,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,42.77750015258789,40.6771125793457
2018-01-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.877498626708984,40.77219772338867
2018-01-29,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,41.9900016784668,39.928279876708984
2018-01-30,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,41.74250030517578,39.69293975830078
2018-01-31,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,41.85749816894531,39.802284240722656
2018-02-01,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,41.94499969482422,39.8854866027832
2018-02-02,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,40.125,38.154842376708984
2018-02-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,39.122501373291016,37.20157241821289
2018-02-06,-1,0,0,0,-1,0.0,0,0,0,0,0,0,0,0,0,40.75749969482422,38.75629425048828
2018-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,39.8849983215332,37.92664337158203
2018-02-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,38.787498474121094,36.883026123046875
2018-02-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,39.102500915527344,37.33415222167969
2018-02-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,40.6775016784668,38.83793258666992
2018-02-13,0,0,0,0,0,0.0,1,0,1,0,0,0,-1,0,0,41.084999084472656,39.22699737548828
2018-02-14,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,41.842498779296875,39.95024108886719
2018-02-15,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,43.247501373291016,41.29169845581055
2018-02-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.10749816894531,41.15802764892578
2018-02-20,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.962501525878906,41.019596099853516
2018-02-21,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,42.76750183105469,40.83342361450195
2018-02-22,0,0,0,0,0,0.0,0,0,1,0,0,-1,0,0,0,43.125,41.174739837646484
2018-02-23,0,0,0,0,0,1.0,0,0,0,0,0,0,0,-1,-1,43.875,41.890830993652344
2018-02-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.74250030517578,42.71909713745117
2018-02-27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.59749984741211,42.580650329589844
2018-02-28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.529998779296875,42.51620101928711
2018-03-01,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,43.75,41.771480560302734
2018-03-02,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,0,44.0525016784668,42.060298919677734
2018-03-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.20500183105469,42.20589828491211
2018-03-06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.16749954223633,42.170101165771484
2018-03-07,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,43.75749969482422,41.77864456176758
2018-03-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.23500061035156,42.23455047607422
2018-03-09,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,44.994998931884766,42.960174560546875
2018-03-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,45.43000030517578,43.375511169433594
2018-03-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.99250030517578,42.957786560058594
2018-03-14,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,44.61000061035156,42.59259033203125
2018-03-15,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,44.662498474121094,42.64270782470703
2018-03-16,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,44.505001068115234,42.492340087890625
2018-03-19,0,-1,0,0,0,-0.5,0,-1,0,0,0,0,0,0,0,43.82500076293945,41.84309387207031
2018-03-20,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,43.810001373291016,41.828765869140625
2018-03-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.817501068115234,40.88115310668945
2018-03-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.212501525878906,40.303504943847656
2018-03-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,41.23500061035156,39.37021255493164
2018-03-26,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,1,43.192501068115234,41.239192962646484
2018-03-27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.084999084472656,40.1817741394043
2018-03-28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,41.619998931884766,39.73780822753906
2018-03-29,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,41.94499969482422,40.0481071472168
2018-04-02,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,41.66999816894531,39.78554153442383
2018-04-03,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.09749984741211,40.19370651245117
2018-04-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.90250015258789,40.96229934692383
2018-04-05,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,43.20000076293945,41.24635314941406
2018-04-06,0,0,0,0,0,-1.0,0,-1,0,0,0,0,0,0,0,42.095001220703125,40.19132995605469
2018-04-09,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,42.51250076293945,40.589942932128906
2018-04-10,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,43.3125,41.35376739501953
2018-04-11,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,43.11000061035156,41.16041946411133
2018-04-12,0,0,0,0,0,0.0,0,0,1,0,0,0,-1,0,-1,43.53499984741211,41.566200256347656
2018-04-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.682498931884766,41.70703125
2018-04-16,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,43.95500183105469,41.96721649169922
2018-04-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1,0,44.560001373291016,42.544837951660156
2018-04-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.459999084472656,42.44936752319336
2018-04-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.20000076293945,41.24635314941406
2018-04-20,0,-1,0,0,0,-0.5,0,-1,-1,0,0,0,0,0,0,41.43000030517578,39.556392669677734
2018-04-23,0,0,0,0,-1,-1.0,-1,0,0,0,0,0,1,0,0,41.310001373291016,39.44182586669922
2018-04-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,40.73500061035156,38.892822265625
2018-04-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,40.912498474121094,39.062294006347656
2018-04-26,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,41.05500030517578,39.19834899902344
