Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2018-01-02,1,0,1,1,1,1.0,0,1,1,0,0,0,0,0,-1,55.31999969482422,47.36170959472656
2018-01-03,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,56.34000015258789,48.2349739074707
2018-01-04,0,0,0,0,0,0.0,0,0,0,-1,0,0,0,0,0,56.9900016784668,48.791465759277344
2018-01-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,56.880001068115234,48.69729232788086
2018-01-08,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,57.459999084472656,49.193851470947266
2018-01-09,0,0,0,0,0,0.0,0,0,0,0,0,-1,0,0,0,57.93000030517578,49.59624099731445
2018-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,57.650001525878906,49.35651397705078
2018-01-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1,1,59.18000030517578,50.666404724121094
2018-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,60.04999923706055,51.411251068115234
2018-01-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,58.84000015258789,50.375328063964844
2018-01-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,59.86000061035156,51.24858856201172
2018-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,59.7599983215332,51.1629753112793
2018-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,59.75,51.154415130615234
2018-01-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,60.66999816894531,51.94205856323242
2018-01-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,60.470001220703125,51.77082443237305
2018-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,60.4900016784668,51.78797149658203
2018-01-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,59.47999954223633,50.92325210571289
2018-01-26,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,60.38999938964844,51.702335357666016
2018-01-29,0,0,0,0,0,0.0,0,-1,0,0,0,0,1,0,0,59.65999984741211,51.077362060546875
2018-01-30,0,0,0,0,0,-0.5,0,0,-1,0,0,0,0,0,0,58.459999084472656,50.049991607666016
2018-01-31,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,58.810001373291016,50.349639892578125
2018-02-01,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,59.349998474121094,50.81195068359375
2018-02-02,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,57.720001220703125,49.416446685791016
2018-02-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,55.939998626708984,47.892513275146484
2018-02-06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,55.939998626708984,47.892513275146484
2018-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,55.630001068115234,47.627113342285156
2018-02-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,53.2400016784668,45.58094024658203
2018-02-09,0,0,0,0,0,-1.0,0,0,0,1,0,1,0,1,0,52.02000045776367,44.77614212036133
2018-02-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,53.40999984741211,45.97257614135742
2018-02-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,53.31999969482422,45.89510726928711
2018-02-14,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,55.5099983215332,47.78014373779297
2018-02-15,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,54.540000915527344,46.94522476196289
2018-02-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,54.650001525878906,47.03989791870117
2018-02-20,0,-1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,54.84000015258789,47.20344543457031
2018-02-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,53.75,46.26522445678711
2018-02-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,54.90999984741211,47.263702392578125
2018-02-23,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,57.04999923706055,49.10569381713867
2018-02-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,56.59000015258789,48.70975112915039
2018-02-27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,55.83000183105469,48.05559158325195
2018-02-28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,54.310001373291016,46.747249603271484
2018-03-01,0,0,0,0,0,-1.0,0,-1,0,0,0,0,0,0,0,53.880001068115234,46.37712478637695
2018-03-02,0,0,0,0,-1,0.0,0,0,0,0,0,0,0,0,0,54.060001373291016,46.53206253051758
2018-03-05,0,-1,0,0,0,0.0,-1,0,0,0,0,0,0,0,-1,53.9900016784668,46.4718132019043
2018-03-06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,54.060001373291016,46.53206253051758
2018-03-07,0,0,0,0,0,0.0,0,1,1,0,1,0,0,0,0,54.06999969482422,46.54066848754883
2018-03-08,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,53.56999969482422,46.11029052734375
2018-03-09,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,55.060001373291016,47.392818450927734
2018-03-12,0,0,0,0,0,0.5,0,0,-1,0,0,0,0,0,0,54.7400016784668,47.117374420166016
2018-03-13,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,53.959999084472656,46.445987701416016
2018-03-14,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,53.959999084472656,46.445987701416016
2018-03-15,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,54.029998779296875,46.50623321533203
2018-03-16,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,54.93000030517578,47.280914306640625
2018-03-19,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,53.56999969482422,46.11029052734375
2018-03-20,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,54.70000076293945,47.08293914794922
2018-03-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,57.040000915527344,49.09709548950195
2018-03-22,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,56.5,48.63228988647461
2018-03-23,0,0,0,0,0,1.0,0,0,0,0,0,0,-1,0,0,57.7400016784668,49.69961166381836
2018-03-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,59.08000183105469,50.853023529052734
2018-03-27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1,0,59.13999938964844,50.90465545654297
2018-03-28,0,0,0,0,0,0.0,0,0,0,0,0,-1,0,0,0,58.72999954223633,50.551753997802734
2018-03-29,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,59.290000915527344,51.033775329589844
2018-04-02,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,58.09000015258789,50.000877380371094
2018-04-03,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,60.029998779296875,51.67072296142578
2018-04-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,59.560001373291016,51.266178131103516
2018-04-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,60.459999084472656,52.04085159301758
2018-04-06,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,59.2599983215332,51.00795364379883
2018-04-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,60.619998931884766,52.178565979003906
2018-04-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,62.34000015258789,53.659061431884766
2018-04-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,63.22999954223633,54.425132751464844
2018-04-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,63.2400016784668,54.43373489379883
2018-04-13,0,0,0,0,0,0.0,0,0,0,-1,0,0,0,0,0,64.9000015258789,55.86258316040039
2018-04-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,65.7300033569336,56.57701110839844
2018-04-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,66.51000213623047,57.248390197753906
2018-04-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,66.41999816894531,57.17091751098633
2018-04-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,66.30999755859375,57.07622146606445
2018-04-20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,65.79000091552734,56.62864303588867
2018-04-23,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,65.4800033569336,56.361820220947266
2018-04-24,0,0,0,0,0,0.0,-1,0,-1,0,0,0,0,0,0,65.30999755859375,56.21548080444336
2018-04-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,65.05999755859375,56.00028991699219
2018-04-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,66.97000122070312,57.64433288574219
