Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2018-01-02,1,0,1,1,1,1.0,0,1,1,-1,0,0,0,0,1,257.6000061035156,239.53662109375
2018-01-03,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,260.82000732421875,242.5308380126953
2018-01-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,264.8800048828125,246.30612182617188
2018-01-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,265.9200134277344,247.27320861816406
2018-01-08,0,0,0,0,0,0.0,0,0,0,0,0,-1,0,0,0,268.6600036621094,249.821044921875
2018-01-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1,0,267.75,248.9748992919922
2018-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,268.010009765625,249.21665954589844
2018-01-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,271.19000244140625,252.1736297607422
2018-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,271.8500061035156,252.78733825683594
2018-01-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,269.5799865722656,250.67657470703125
2018-01-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,271.489990234375,252.4525909423828
2018-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,272.17999267578125,253.09422302246094
2018-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,274.32000732421875,255.08419799804688
2018-01-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,273.8900146484375,254.68434143066406
2018-01-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,272.0199890136719,252.94541931152344
2018-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,270.4100036621094,251.44833374023438
2018-01-25,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,268.0400085449219,249.24452209472656
2018-01-26,0,0,0,0,0,-0.5,0,-1,0,0,0,0,0,0,0,268.8500061035156,249.99783325195312
2018-01-29,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,267.69000244140625,248.91908264160156
2018-01-30,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,1,261.4599914550781,243.12594604492188
