Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2018-01-03,0,0,-1,1,-1,0.5,0,1,-1,0,0,0,0,0,-1,7.150000095367432,5.489915370941162
2018-01-04,0,0,0,0,0,-1.0,-1,-1,0,0,0,0,0,0,0,7.099999904632568,5.451524257659912
2018-01-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-01-08,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,7.050000190734863,5.413133144378662
2018-01-09,0,0,0,-1,0,0.0,0,1,0,0,0,0,0,0,0,7.099999904632568,5.451524257659912
2018-01-10,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,7.099999904632568,5.451524257659912
2018-01-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-01-15,0,0,0,0,0,0.5,1,0,0,0,-1,0,0,0,0,7.099999904632568,5.451524257659912
2018-01-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.150000095367432,5.489915370941162
2018-01-17,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,7.150000095367432,5.489915370941162
2018-01-18,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,7.150000095367432,5.489915370941162
2018-01-19,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,7.150000095367432,5.489915370941162
2018-01-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.150000095367432,5.489915370941162
2018-01-23,0,0,0,0,0,-1.0,0,-1,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-01-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-01-26,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,7.099999904632568,5.451524257659912
2018-01-29,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.099999904632568,5.451524257659912
2018-01-30,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-01-31,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-02-01,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,7.050000190734863,5.413133144378662
2018-02-02,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.050000190734863,5.413133144378662
2018-02-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,6.949999809265137,5.3363518714904785
2018-02-06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,6.949999809265137,5.3363518714904785
2018-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7.0,5.3747429847717285
2018-02-08,-1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,7.0,5.3747429847717285
