Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2018-01-03,0,0,1,1,-1,-1.0,0,1,-1,0,0,0,0,0,1,46.75,37.8475227355957
2018-01-04,0,0,0,0,0,0.0,1,-1,0,0,0,0,0,0,0,45.5,36.83554458618164
2018-01-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.0,35.62118911743164
2018-01-08,0,0,-1,0,0,0.0,0,0,0,0,0,0,0,0,0,44.25,35.82358932495117
2018-01-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,44.5,36.02598571777344
2018-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,43.5,35.21640396118164
2018-01-11,0,0,0,0,0,0.0,-1,0,0,0,0,0,0,0,-1,43.0,34.811614990234375
2018-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.25,34.20444107055664
2018-01-15,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.5,34.40683364868164
2018-01-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.75,35.418792724609375
2018-01-17,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,44.25,35.82358932495117
2018-01-18,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,43.75,35.418792724609375
2018-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.0,34.811614990234375
2018-01-22,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,43.25,35.014007568359375
2018-01-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.25,35.014007568359375
2018-01-24,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,43.75,35.418792724609375
2018-01-25,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,42.0,34.00204849243164
2018-01-26,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,42.5,34.40683364868164
2018-01-29,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.0,34.811614990234375
2018-01-30,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,43.0,34.811614990234375
2018-01-31,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.5,34.40683364868164
2018-02-01,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.25,34.20444107055664
2018-02-02,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,41.5,33.59726333618164
2018-02-05,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,43.25,35.014007568359375
2018-02-06,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,42.75,34.609222412109375
2018-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.0,34.00204849243164
2018-02-08,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,43.25,35.014007568359375
2018-02-09,0,0,0,0,0,0.0,0,0,1,0,0,0,-1,0,0,43.5,35.21640396118164
2018-02-12,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,42.75,34.609222412109375
2018-02-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.0,34.811614990234375
