Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2018-01-03,0,0,1,1,1,1.0,0,1,-1,0,0,0,1,0,-1,43.75,41.82079315185547
2018-01-04,0,0,0,0,0,-0.5,0,-1,0,0,0,0,0,0,1,42.25,40.38693618774414
2018-01-05,0,0,0,0,-1,0.0,-1,0,0,0,0,0,0,0,0,41.25,39.4310302734375
2018-01-08,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,42.0,40.14795684814453
2018-01-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.5,40.625911712646484
2018-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.75,40.86488342285156
2018-01-11,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,43.0,41.10386276245117
2018-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,42.75,40.86488342285156
2018-01-15,0,0,0,0,0,0.5,0,1,1,0,0,0,0,0,1,44.25,42.29874038696289
2018-01-16,0,0,0,0,0,1.0,1,0,-1,0,0,0,0,0,0,44.0,42.05976486206055
2018-01-17,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,44.5,42.5377197265625
2018-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,44.5,42.5377197265625
2018-01-19,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,1,43.75,41.82079315185547
2018-01-22,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,44.0,42.05976486206055
2018-01-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44.0,42.05976486206055
2018-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,44.0,42.05976486206055
2018-01-25,0,0,0,0,0,0.0,0,0,-1,0,0,0,1,0,0,43.25,41.342838287353516
2018-01-26,0,0,0,0,1,-0.5,0,0,1,0,1,0,0,0,0,43.5,41.58181381225586
2018-01-29,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,43.75,41.82079315185547
2018-01-30,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.75,41.82079315185547
2018-01-31,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,44.0,42.05976486206055
2018-02-01,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,44.25,42.29874038696289
2018-02-02,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,44.0,42.05976486206055
2018-02-05,0,0,0,0,0,-0.5,0,-1,0,0,0,0,0,0,0,43.5,41.58181381225586
2018-02-06,0,0,0,0,0,0.0,-1,0,-1,0,0,0,1,0,1,42.5,40.625911712646484
2018-02-07,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,42.5,40.625911712646484
2018-02-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.0,41.10386276245117
2018-02-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,42.5,40.625911712646484
2018-02-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,42.5,40.625911712646484
2018-02-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,43.0,41.10386276245117
2018-02-14,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,43.75,41.82079315185547
