Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2018-01-02,1,0,1,1,1,1.0,0,1,1,-1,0,0,0,0,-1,73.9800033569336,63.66433334350586
2018-01-03,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,75.0,64.54210662841797
2018-01-04,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,74.95999908447266,64.50768280029297
2018-01-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,74.55000305175781,64.15486145019531
2018-01-08,0,0,0,0,0,0.0,0,0,0,0,0,-1,0,0,0,75.19000244140625,64.70559692382812
2018-01-09,0,0,0,0,0,0.0,0,0,0,0,0,0,1,-1,0,74.88999938964844,64.44744873046875
2018-01-10,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,74.25,63.89666748046875
2018-01-11,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,75.81999969482422,65.24777221679688
2018-01-12,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,76.52999877929688,65.8587646484375
2018-01-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,75.2699966430664,64.77445983886719
2018-01-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,75.86000061035156,65.2822036743164
2018-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,75.38999938964844,64.87771606445312
2018-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,75.55000305175781,65.01542663574219
2018-01-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,77.62999725341797,66.8053970336914
2018-01-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,77.41999816894531,66.6246566772461
2018-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,77.55999755859375,66.74512481689453
2018-01-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,76.73999786376953,66.03948211669922
2018-01-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,77.18000030517578,66.41814422607422
2018-01-29,0,0,0,0,0,0.0,0,-1,0,0,0,0,0,0,0,76.23999786376953,65.60920715332031
2018-01-30,0,0,0,0,0,-0.5,-1,0,-1,0,0,0,0,0,0,74.76000213623047,64.33556365966797
2018-01-31,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,74.97000122070312,64.51629638671875
