Date,adx_signal,macd_signal,ma30_200_signal,ma50_200_signal,ma30_50_signal,cdc_signal,sar_signal,roc_signal,obv_signal,rsi_signal,bb_signal,wpr_signal,stoch_signal,cci_signal,atr_signal,close_price,adj_close_price
2018-01-02,0,0,1,1,-1,1.0,0,1,1,0,0,0,0,0,-1,85.02999877929688,65.37906646728516
2018-01-03,1,0,0,0,0,0.0,1,0,0,-1,0,0,0,0,1,86.69999694824219,66.66313934326172
2018-01-04,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,86.81999969482422,66.75540161132812
2018-01-05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,86.75,66.70159149169922
2018-01-08,0,0,0,0,0,0.0,0,0,0,0,0,-1,-1,0,0,87.13999938964844,67.00146484375
2018-01-09,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1,0,86.7699966430664,66.71695709228516
2018-01-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,86.08000183105469,66.18643188476562
2018-01-11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,86.93000030517578,66.8399887084961
2018-01-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,87.5199966430664,67.29362487792969
2018-01-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,86.97000122070312,66.87073516845703
2018-01-17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,88.0,67.66268920898438
2018-01-18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,87.43000030517578,67.22443389892578
2018-01-19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,87.1500015258789,67.0091323852539
2018-01-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,88.25,67.85492706298828
2018-01-23,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,88.30000305175781,67.89334869384766
2018-01-24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,88.52999877929688,68.07020568847656
2018-01-25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,88.37000274658203,67.94718170166016
2018-01-26,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,89.0,68.43159484863281
2018-01-29,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,88.01000213623047,67.6703872680664
2018-01-30,0,0,0,0,0,0.0,0,-1,-1,0,0,0,0,0,0,86.77999877929688,66.72463989257812
2018-01-31,0,0,0,0,0,-0.5,-1,0,1,0,0,0,0,0,0,87.30000305175781,67.12446594238281
2018-02-01,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,89.06999969482422,68.48542022705078
2018-02-02,-1,0,0,0,0,-0.5,0,-1,-1,0,0,0,0,0,0,84.52999877929688,64.9946517944336
2018-02-05,0,0,0,0,0,0.0,-1,0,0,1,0,0,0,0,0,79.72000122070312,61.2962532043457
2018-02-06,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,0,0,78.3499984741211,60.24287033081055
2018-02-07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,76.94000244140625,59.158729553222656
2018-02-08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,76.06999969482422,58.48978805541992
2018-02-09,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,75.77999877929688,58.862632751464844
2018-02-12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,76.41999816894531,59.35974884033203
2018-02-13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,76.30000305175781,59.26654815673828
2018-02-14,0,0,0,0,0,0.0,0,0,0,0,0,0,-1,0,0,76.45999908447266,59.39081954956055
2018-02-15,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,76.20999908447266,59.196632385253906
2018-02-16,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,76.54000091552734,59.452964782714844
2018-02-20,0,-1,0,0,-1,0.0,0,0,0,0,0,0,0,0,0,75.75,58.839324951171875
2018-02-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,74.88999938964844,58.171321868896484
2018-02-22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,75.86000061035156,58.924774169921875
2018-02-23,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,77.52999877929688,60.22195053100586
2018-02-26,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,78.83999633789062,61.239498138427734
2018-02-27,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,77.5,60.19865417480469
2018-02-28,0,0,0,0,0,-1.0,0,-1,0,0,0,0,0,0,1,75.73999786376953,58.831565856933594
2018-03-01,0,0,-1,0,0,0.0,0,0,0,0,0,0,0,0,0,75.19999694824219,58.41211700439453
2018-03-02,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,-1,75.55000305175781,58.68397521972656
