,ma30_50_signal,ma30_200_signal,ma50_200_signal,Obv_signal,sma100_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,Close
0,1,1,1,1,1,1,0,0,1,0,0,-1,-1,0,113.87999725341797
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,113.9000015258789
2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,113.5999984741211
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114.56999969482422
4,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,115.80000305175781
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,115.51000213623047
6,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,115.05999755859375
7,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,113.18000030517578
8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,114.20999908447266
9,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,114.36000061035156
10,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,113.66000366210938
11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,113.37000274658203
12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,114.13999938964844
13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,114.7699966430664
14,0,0,0,-1,1,0,0,0,-1,0,1,0,0,0,111.23999786376953
15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,106.79000091552734
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104.91999816894531
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106.54000091552734
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105.0199966430664
19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106.43000030517578
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105.63999938964844
21,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,101.47000122070312
22,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,103.54000091552734
23,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,103.43000030517578
24,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,105.63999938964844
25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,107.61000061035156
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105.9000015258789
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,107.20999908447266
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106.9800033569336
29,-1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,107.33000183105469
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,107.08999633789062
31,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,107.98999786376953
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106.66000366210938
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106.19999694824219
