,ma30_50_signal,ma30_200_signal,ma50_200_signal,Obv_signal,sma100_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,Close
0,-1,1,1,-1,-1,-1,0,0,1,0,0,1,0,0,69.77999877929688
1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,69.95999908447266
2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,70.26000213623047
3,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,70.37000274658203
4,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,69.69000244140625
5,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,69.45999908447266
6,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,68.87000274658203
7,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,67.73999786376953
8,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,68.31999969482422
9,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,68.08000183105469
10,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,67.83000183105469
11,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,67.51000213623047
12,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,68.26000213623047
13,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,68.37000274658203
14,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,67.8499984741211
15,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.56999969482422
16,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,65.86000061035156
17,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.20999908447266
18,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,65.81999969482422
19,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,65.75
20,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,64.94999694824219
21,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,63.86000061035156
22,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,63.709999084472656
23,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,63.459999084472656
24,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,64.30000305175781
25,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,64.97000122070312
26,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,64.58000183105469
27,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,65.56999969482422
28,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,65.22000122070312
29,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,64.70999908447266
30,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,65.52999877929688
31,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,65.37000274658203
32,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,65.0
33,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,64.91999816894531
34,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,64.68000030517578
35,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,66.41999816894531
36,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,66.5199966430664
37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.12999725341797
38,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.25
39,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.5
40,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.30999755859375
41,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,66.5
42,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,66.30000305175781
43,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,66.38999938964844
44,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.51000213623047
45,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.88999938964844
46,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.52999877929688
47,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,66.54000091552734
48,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,66.31999969482422
49,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,66.5999984741211
50,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,67.29000091552734
51,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,68.0999984741211
52,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,67.5
53,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,67.9000015258789
54,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,67.4800033569336
55,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,67.55999755859375
56,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,68.38999938964844
57,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,68.5999984741211
58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69.29000091552734
59,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,70.3499984741211
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.3499984741211
61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.30999755859375
62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.88999938964844
63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.19999694824219
64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.22000122070312
65,0,0,0,0,1,0,0,1,0,0,0,0,0,0,69.4800033569336
66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.06999969482422
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71.54000091552734
68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69.70999908447266
69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.87000274658203
70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71.51000213623047
71,0,1,0,0,1,0,0,0,0,0,0,0,0,0,72.94000244140625
72,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,73.77999877929688
73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.7699966430664
74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.5999984741211
75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.16999816894531
76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.0199966430664
77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.48999786376953
78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.4000015258789
79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.6500015258789
80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.68000030517578
81,0,0,1,0,1,0,0,0,0,0,0,0,0,0,74.30999755859375
