,ma30_50_signal,ma30_200_signal,ma50_200_signal,Obv_signal,sma100_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,Close
0,1,1,1,1,1,1,1,1,1,0,0,-1,-1,0,27.724082946777344
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.521841049194336
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.828691482543945
3,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,28.36517906188965
4,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,28.424209594726562
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.150484085083008
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.148990631103516
7,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,27.969663619995117
8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,28.627695083618164
9,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,28.60826873779297
10,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,28.79755973815918
11,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,28.655841827392578
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.983861923217773
13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29.016738891601562
14,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,28.894197463989258
15,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,27.990833282470703
16,0,0,0,0,1,0,0,1,0,0,1,0,0,0,27.427942276000977
17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27.970409393310547
18,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,27.56966209411621
19,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,28.27875328063965
20,0,0,0,1,1,0,0,0,1,0,-1,0,0,0,29.413999557495117
21,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,28.229936599731445
22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,28.347745895385742
23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.47327423095703
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.890710830688477
25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,29.326078414916992
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.2137508392334
27,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,29.643388748168945
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.55646514892578
29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.885482788085938
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.95771026611328
31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.15895652770996
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.94625473022461
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.990339279174805
34,0,0,0,0,1,0,0,1,0,0,0,0,0,0,29.98236846923828
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.199554443359375
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.386104583740234
37,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,30.39034080505371
38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.36642837524414
39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.277761459350586
40,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,29.954971313476562
41,0,0,0,0,1,0,0,0,1,0,0,0,0,0,30.25933074951172
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.3427677154541
43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.376392364501953
44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.2563419342041
45,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,30.1761417388916
46,0,0,0,0,1,0,0,1,0,0,1,0,0,0,29.887723922729492
47,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30.069791793823242
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29.615493774414062
49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.210512161254883
50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.69120979309082
51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.168420791625977
52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.869293212890625
53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.817237854003906
54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.46555519104004
55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.840150833129883
56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.859825134277344
57,0,0,0,0,1,0,0,0,0,1,0,0,0,0,28.193574905395508
58,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,27.846546173095703
59,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,27.92283821105957
60,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,27.77225112915039
61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.28035545349121
62,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,28.27237892150879
63,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,28.40900230407715
64,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,27.082645416259766
65,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.83382797241211
66,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,27.669034957885742
67,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,28.129770278930664
68,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.97344398498535
69,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.457361221313477
70,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.553098678588867
71,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.74856185913086
72,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,27.750810623168945
73,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,26.73160743713379
74,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.358631134033203
75,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.667285919189453
76,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.27486228942871
77,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,26.186105728149414
78,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,25.73833465576172
79,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,25.78670310974121
80,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.31275749206543
81,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,26.260900497436523
82,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,26.49475860595703
83,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,26.32422637939453
84,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,26.3182430267334
85,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,25.686477661132812
86,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,25.428186416625977
87,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,25.480045318603516
88,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,25.86548614501953
89,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,26.42345428466797
