,ma30_50_signal,ma30_200_signal,ma50_200_signal,Obv_signal,sma100_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,Close
0,1,1,1,1,1,1,1,0,-1,0,0,-1,0,0,54.709999084472656
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54.560001373291016
2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,57.20000076293945
3,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,57.91999816894531
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58.22999954223633
5,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,57.220001220703125
6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,57.939998626708984
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55.90999984741211
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.7400016784668
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.599998474121094
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.189998626708984
11,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,56.29999923706055
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58.5099983215332
13,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,57.5099983215332
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56.630001068115234
15,0,0,0,0,1,0,0,1,0,0,1,0,1,0,54.45000076293945
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.54999923706055
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55.13999938964844
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.529998779296875
19,0,0,0,0,1,0,0,0,1,0,-1,1,-1,0,61.08000183105469
20,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,62.56999969482422
21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.47999954223633
22,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,62.75
23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62.189998626708984
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62.15999984741211
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.31999969482422
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.54999923706055
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.8499984741211
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.44999694824219
29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,67.33000183105469
